title,url,platform,score,genre,editors_choice,release_year
Pokemon Black Version 2,/games/pokemon-black-version-2/nds-129224,Nintendo DS,9.6,RPG,Y,2012
Drakerider,/games/drakerider/iphone-135745,iPhone,6.5,RPG,N,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/xbox-360-135872,Xbox 360,9,Adventure,Y,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/pc-135874,PC,9,Adventure,Y,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ps3-135873,PlayStation 3,9,Adventure,Y,2012
Rock Band Blitz,/games/rock-band-blitz/xbox-360-131273,Xbox 360,8.5,Music,Y,2012
Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/mac-116695,Macintosh,8,Shooter,N,2012
Worms Revolution,/games/worms-revolution/ps3-131184,PlayStation 3,8.5,Strategy,N,2012
Worms Revolution,/games/worms-revolution/pc-131183,PC,8.5,Strategy,N,2012
Worms Revolution,/games/worms-revolution/xbox-360-131185,Xbox 360,8.5,Strategy,N,2012
Bad Piggies,/games/bad-piggies/iphone-141455,iPhone,9.2,Action,Y,2012
Resident Evil 6,/games/resident-evil-6/ps3-85710,PlayStation 3,7.9,"Action, Adventure",N,2012
Resident Evil 6,/games/resident-evil-6/xbox-360-117995,Xbox 360,7.9,"Action, Adventure",N,2012
Shad'O,/games/shado/pc-141293,PC,7,Adventure,N,2012
Demon's Score,/games/demons-score/iphone-118050,iPhone,6.9,Action,N,2012
NBA 2K13,/games/nba-2k13/xbox-360-132080,Xbox 360,9.1,Sports,Y,2012
Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/pc-115451,PC,8,Shooter,N,2012
The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/ipad-140661,iPad,9.5,RPG,Y,2012
Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/ps3-115453,PlayStation 3,8,Shooter,N,2012
The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/iphone-140269,iPhone,9.5,RPG,Y,2012
Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/xbox-360-115452,Xbox 360,8,Shooter,N,2012
Madden NFL 13,/games/madden-nfl-2013/vita-128100,PlayStation Vita,6,Sports,N,2012
Madden NFL 13,/games/madden-nfl-2013/ps3-128098,PlayStation 3,9,Sports,Y,2012
Madden NFL 13,/games/madden-nfl-2013/xbox-360-128097,Xbox 360,9,Sports,Y,2012
Hoodwink,/games/hoodwink/pc-136672,PC,2.5,Adventure,N,2012
NBA 2K13,/games/nba-2k13/ps3-132077,PlayStation 3,9.1,Sports,Y,2012
NBA 2K13,/games/nba-2k13/pc-140490,PC,9.1,Sports,Y,2012
Lili: Child of Geos,/games/lili/iphone-138013,iPhone,7,Adventure,N,2012
Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,Fighting,N,2012
Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/ps3-137160,PlayStation 3,8.2,Fighting,N,2012
Dead or Alive 5,/games/dead-or-alive-5/ps3-117918,PlayStation 3,8.8,Fighting,N,2012
Dead or Alive 5,/games/dead-or-alive-5/xbox-360-866449,Xbox 360,8.8,Fighting,N,2012
Medal of Honor Warfighter,/games/medal-of-honor-warfighter/pc-101082,PC,4,Shooter,N,2012
Professor Layton and the Miracle Mask,/games/professor-layton-and-the-mask-of-miracle/3ds-77742,Nintendo 3DS,8.7,Adventure,Y,2012
Hotline Miami,/games/hotline-miami/pc-139657,PC,8.8,Action,Y,2012
Edna & Harvey: Harvey's New Eyes,/games/edna-harvey-harveys-new-eyes/pc-145776,PC,6,Adventure,N,2012
Medal of Honor Warfighter,/games/medal-of-honor-warfighter/ps3-101085,PlayStation 3,4,Shooter,N,2012
Medal of Honor Warfighter,/games/medal-of-honor-warfighter/xbox-360-101086,Xbox 360,4,Shooter,N,2012
Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/xbox-360-92426,Xbox 360,8.5,Shooter,N,2012
Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/ps3-92425,PlayStation 3,8.5,Shooter,N,2012
Hero Academy,/games/hero-academy-136971/pc-122908,PC,9,Board,Y,2012
Hero Academy,/games/hero-academy-136971/iphone-122803,iPhone,9,Strategy,Y,2012
Puzzle Craft,/games/puzzlecraft/iphone-134348,iPhone,9,Puzzle,Y,2012
Realms Of Ancient War,/games/realms-of-ancient-war/xbox-360-111182,Xbox 360,5.5,Action,N,2012
Realms Of Ancient War,/games/realms-of-ancient-war/ps3-111181,PlayStation 3,5.5,Action,N,2012
Anomaly: Warzone Earth,/games/anomaly-warzone-earth/ps3-138479,PlayStation 3,8.2,Action,N,2012
Darksiders II,/games/darksiders-2/pc-91963,PC,7.5,Action,N,2012
Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/mac-140189,Macintosh,7,Shooter,N,2012
Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/pc-140187,PC,7,Shooter,N,2012
Puzzle Craft,/games/puzzlecraft/android-134352,Android,9,Puzzle,Y,2012
Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/xbox-360-140188,Xbox 360,7,Shooter,N,2012
Horn,/games/horn/iphone-136814,iPhone,9,"Action, Adventure",Y,2012
Forza Horizon,/games/forza-horizon/xbox-360-129564,Xbox 360,9,Racing,Y,2012
FIFA Soccer 13,/games/fifa-2013/vita-115689,PlayStation Vita,4,Sports,N,2012
Mugen Souls,/games/mugen-souls/ps3-120256,PlayStation 3,3.9,"Strategy, RPG",N,2012
Crazy Taxi,/games/crazy-taxi/iphone-144755,iPhone,7.1,"Racing, Action",N,2012
New Little King's Story,/games/new-kings-story/vita-116369,PlayStation Vita,5.8,RPG,N,2012
Fable: The Journey,/games/fable-the-journey/xbox-360-27948,Xbox 360,7.2,"Action, RPG",N,2012
The Lord of the Rings Online: Riders of Rohan,/games/the-lord-of-the-rings-online-riders-of-rohan/pc-127207,PC,8.3,RPG,N,2012
Doom 3: BFG Edition,/games/doom-3/xbox-360-135333,Xbox 360,7.6,RPG,N,2012
Rugby League Live 2,/games/rugby-league-live-2/xbox-360-136983,Xbox 360,6,Sports,N,2012
Rugby League Live 2,/games/rugby-league-live-2/ps3-136984,PlayStation 3,6,Sports,N,2012
Doom 3: BFG Edition,/games/doom-3/ps3-135329,PlayStation 3,7.6,RPG,N,2012
Punch Quest,/games/punch-quest/iphone-136667,iPhone,9.3,Action,Y,2012
He-Man: The Most Powerful Game in the Universe,/games/he-man-the-most-powerful-game-in-the-universe/iphone-144763,iPhone,6.8,Action,N,2012
Doom 3: BFG Edition,/games/doom-3/pc-135338,PC,7.6,RPG,N,2012
Dokuro,/games/dokuro/vita-130906,PlayStation Vita,8.8,Puzzle,N,2012
Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/xbox-360-135404,Xbox 360,2.3,Action,N,2012
Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/ps3-135407,PlayStation 3,2.3,Action,N,2012
Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/ps3-145419,PlayStation 3,7.5,"Shooter, RPG",N,2012
Skylanders Giants,/games/skylanders-giants/ps3-128142,PlayStation 3,8,"Action, Adventure",N,2012
Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/pc-145418,PC,7.5,"Shooter, RPG",N,2012
Rayman: Jungle Run,/games/rayman-jungle-run/iphone-141641,iPhone,8.8,Platformer,N,2012
FIFA Soccer 13,/games/fifa-2013/pc-115688,PC,9,Sports,Y,2012
FIFA Soccer 13,/games/fifa-2013/ps3-115679,PlayStation 3,9,Sports,Y,2012
Torchlight II,/games/torchlight-ii/pc-82633,PC,9.1,"Action, RPG",Y,2012
FIFA Soccer 13,/games/fifa-2013/xbox-360-115691,Xbox 360,9,Sports,Y,2012
The Sims 3: Supernatural,/games/the-sims-3-supernatural/pc-136180,PC,4.5,Simulation,N,2012
Retro/Grade,/games/retrograde-138590/ps3-21766,PlayStation 3,7,,N,2012
Iron Brigade,/games/iron-brigade/pc-121033,PC,9,Action,Y,2012
Cafeteria Nipponica,/games/cafeteria-nipponica/iphone-139633,iPhone,6,Simulation,N,2012
Sleeping Dogs,/games/sleeping-dogs/xbox-360-14279324,Xbox 360,8.5,Action,N,2012
Sleeping Dogs,/games/sleeping-dogs/ps3-55068,PlayStation 3,8.5,Action,N,2012
Darksiders II,/games/darksiders-2/ps3-14336767,PlayStation 3,7.5,Action,N,2012
Papo & Yo,/games/papo-and-yo/ps3-110267,PlayStation 3,4,Adventure,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/pc-135879,PC,7.5,Adventure,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ipad-135882,iPad,7.5,Adventure,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ps3-135880,PlayStation 3,7.5,Adventure,N,2012
Cortex Command,/games/cortex-command/pc-14333880,PC,5,"Action, Simulation",N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/xbox-360-135881,Xbox 360,7.5,Adventure,N,2012
Derrick the Deathfin,/games/derrick-the-deathfin-133942/ps3-129921,PlayStation 3,7.4,Action,N,2012
The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/mac-135878,Macintosh,7.5,Adventure,N,2012
XCOM: Enemy Unknown,/games/xcom-enemy-unknown/xbox-360-126074,Xbox 360,8.2,Strategy,N,2012
XCOM: Enemy Unknown,/games/xcom-enemy-unknown/pc-126070,PC,8.2,Strategy,N,2012
Silent Hill: Book of Memories,/games/silent-hill-book-of-memories/vita-110040,PlayStation Vita,6,Adventure,N,2012
Diaspora: Shattered Armistice,/games/diaspora-shattered-armistice/pc-145951,PC,7.4,"Flight, Action",N,2012
Pocket Clothier,/games/pocket-clothier/iphone-145621,iPhone,6.6,Strategy,N,2012
Pocket Clothier,/games/pocket-clothier/android-145958,Android,6.6,Strategy,N,2012
Ravaged,/games/ravaged-135376/pc-128650,PC,6.7,Shooter,N,2012
True Skate,/games/true-skate/iphone-145482,iPhone,6.7,Sports,N,2012
Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/3ds-116383,Nintendo 3DS,9.5,Adventure,Y,2012
Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/vita-116380,PlayStation Vita,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ipad-135871,iPad,9,Adventure,Y,2012
Skylanders Giants,/games/skylanders-giants/xbox-360-128140,Xbox 360,8,"Action, Adventure",N,2012
Skylanders Giants,/games/skylanders-giants/wii-128141,Wii,8,"Action, Adventure",N,2012
Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/xbox-360-145420,Xbox 360,7.5,"Shooter, RPG",N,2012
Devil's Attorney,/games/devils-attorney/android-145462,Android,8.3,Strategy,N,2012
Devil's Attorney,/games/devils-attorney/iphone-145099,iPhone,8.3,Strategy,N,2012
Code of Princess,/games/code-of-princess-135813/3ds-125676,Nintendo 3DS,6.9,"Action, RPG",N,2012
SunFlowers,/games/sun-flowers-134128/vita-132435,PlayStation Vita,8,Puzzle,N,2012
007 Legends,/games/007-legends/xbox-360-132394,Xbox 360,4.5,Action,N,2012
Super Hexagon,/games/super-hexagon/iphone-143440,iPhone,9,Action,N,2012
Machinarium,/games/machinarium/ps3-110942,PlayStation 3,8,Adventure,N,2012
Final Fantasy Dimensions,/games/final-fantasy-dimensions/iphone-135306,iPhone,8,RPG,N,2012
They Bleed Pixels,/games/they-bleed-pixels/pc-141012,PC,8.2,Platformer,N,2012
Jet Set Radio,/games/jet-set-radio/vita-135073,PlayStation Vita,7.5,Action,N,2012
Jet Set Radio,/games/jet-set-radio/ps3-129168,PlayStation 3,7.5,Action,N,2012
Jet Set Radio,/games/jet-set-radio/xbox-360-129165,Xbox 360,7.5,Action,N,2012
Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/xbox-360-133009,Xbox 360,8.5,Sports,Y,2012
F1 2012,/games/f1-2012/pc-130383,PC,9,Racing,Y,2012
Darksiders II,/games/darksiders-2/xbox-360-14336768,Xbox 360,7.5,Action,N,2012
Pitfall,/games/pitfall-working-title/iphone-137420,iPhone,7,Platformer,N,2012
Dust: An Elysian Tail,/games/dust-an-elysian-tail-139696/xbox-360-77719,Xbox 360,8.5,Platformer,N,2012
Hybrid,/games/hybrid-140542/xbox-360-37860,Xbox 360,8,Shooter,N,2012
The Dark Knight Rises,/games/the-dark-knight-rises/iphone-130653,iPhone,5.5,Action,N,2012
10000000,/games/10000000/iphone-139135,iPhone,7.5,,N,2012
The Political Machine 2012,/games/the-political-machine-2012/pc-131306,PC,6.5,Strategy,N,2012
Sound Shapes,/games/sound-shapes-queasy-games/ps3-135578,PlayStation 3,9,Platformer,Y,2012
Sound Shapes,/games/sound-shapes-queasy-games/vita-110145,PlayStation Vita,9,Platformer,Y,2012
One Piece: Pirate Warriors,/games/one-piece-pirate-warriors/ps3-116782,PlayStation 3,6,Action,N,2012
XCOM: Enemy Unknown,/games/xcom-enemy-unknown/ps3-126073,PlayStation 3,8.2,Strategy,N,2012
Dishonored,/games/dishonored/xbox-360-112932,Xbox 360,9.2,Action,Y,2012
Dishonored,/games/dishonored/pc-112928,PC,9.2,Action,Y,2012
Dishonored,/games/dishonored/ps3-112931,PlayStation 3,9.2,Action,Y,2012
Angry Birds Trilogy,/games/angry-birds-trilogy/3ds-82424,Nintendo 3DS,7,"Puzzle, Action",N,2012
Angry Birds Trilogy,/games/angry-birds-trilogy/xbox-360-88826,Xbox 360,7,"Puzzle, Action",N,2012
Angry Birds Trilogy,/games/angry-birds-trilogy/ps3-135852,PlayStation 3,7,"Puzzle, Action",N,2012
Girls Like Robots,/games/girls-like-robots/iphone-145093,iPhone,8.5,Puzzle,N,2012
Happy Wars,/games/happy-wars/xbox-360-64840,Xbox 360,4,Action,N,2012
007 Legends,/games/007-legends/ps3-132391,PlayStation 3,4.5,Action,N,2012
Funky Smugglers,/games/funky-smugglers/iphone-145106,iPhone,9,Action,Y,2012
Colour Bind,/games/colour-bind/pc-143757,PC,6.2,,N,2012
WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/xbox-360-131357,Xbox 360,5,Racing,N,2012
WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/pc-131360,PC,5,Racing,N,2012
Retro City Rampage,/games/retro-city-rampage/ps3-128971,PlayStation 3,5.3,"Action, Adventure",N,2012
Retro City Rampage,/games/retro-city-rampage/pc-129032,PC,5.3,"Action, Adventure",N,2012
Dance Central 3,/games/dance-central-3/xbox-360-135601,Xbox 360,8,Music,N,2012
WRC 3 FIA World Rally Championship,/games/wrc-3-fia-world-rally-championship/ps3-131361,PlayStation 3,5,Racing,N,2012
Snapshot,/games/snapshot/pc-143174,PC,5,Platformer,N,2012
F1 2012,/games/f1-2012/ps3-130382,PlayStation 3,9,Racing,Y,2012
Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/ps3-133012,PlayStation 3,8.5,Sports,Y,2012
F1 2012,/games/f1-2012/xbox-360-130379,Xbox 360,9,Racing,Y,2012
Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/pc-133014,PC,8.5,Sports,Y,2012
Borderlands 2,/games/borderlands-2/xbox-360-94188,Xbox 360,9,"Shooter, RPG",Y,2012
Borderlands 2,/games/borderlands-2/pc-94190,PC,9,"Shooter, RPG",Y,2012
Joe Danger: The Movie,/games/joe-danger-the-movie/xbox-360-115463,Xbox 360,8,Action,N,2012
Borderlands 2,/games/borderlands-2/ps3-94189,PlayStation 3,9,"Shooter, RPG",Y,2012
Sound Shapes,/games/sound-shapes-queasy-games/ps4-20007461,PlayStation 4,9,Platformer,Y,2012
Persona 4 Arena,/games/persona-4-arena/ps3-116910,PlayStation 3,9,Fighting,Y,2012
Persona 4 Arena,/games/persona-4-arena/xbox-360-116913,Xbox 360,9,Fighting,Y,2012
Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/pc-129413,PC,4.9,Platformer,N,2012
Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/xbox-360-129412,Xbox 360,4.9,Platformer,N,2012
Retro City Rampage,/games/retro-city-rampage/vita-128972,PlayStation Vita,5.3,"Action, Adventure",N,2012
The Unfinished Swan,/games/the-unfinished-swan/ps3-133433,PlayStation 3,9,Puzzle,Y,2012
Tokyo Jungle,/games/tokyo-jungle-139049/ps3-85484,PlayStation 3,8,Adventure,N,2012
Halo 4,/games/halo-4/xbox-360-110563,Xbox 360,9.8,Shooter,Y,2012
Halo 4 (Limited Edition),/games/halo-4/xbox-360-134637,Xbox 360,9.8,Shooter,Y,2012
Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/ps3-110049,PlayStation 3,7,"Action, Compilation",N,2012
Harvest Moon: A New Beginning,/games/harvest-moon-hajimari-no-daichi/3ds-120299,Nintendo 3DS,8.3,Adventure,N,2012
Zone of the Enders HD Collection,/games/zone-of-the-enders-hd-collection/xbox-360-110060,Xbox 360,7,"Action, Compilation",N,2012
Borderlands Legends,/games/borderlands-legends/iphone-145721,iPhone,6.5,"Action, RPG",N,2012
Borderlands Legends,/games/borderlands-legends/ipad-145832,iPad,6.5,"Action, RPG",N,2012
Okami HD,/games/okami/ps3-136378,PlayStation 3,9.4,Adventure,Y,2012
Ragnarok Odyssey,/games/ragnarok-odyssey/vita-117348,PlayStation Vita,5,RPG,N,2012
Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/iphone-135825,iPhone,6.9,"Racing, Action",N,2012
Pid,/games/pid/xbox-360-124089,Xbox 360,7.8,Platformer,N,2012
Pid,/games/pid/pc-124085,PC,7.8,Platformer,N,2012
Pid,/games/pid/ps3-124088,PlayStation 3,7.8,Platformer,N,2012
Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/ps3-126560,PlayStation 3,9,"Racing, Action",Y,2012
Assassin's Creed III,/games/assassins-creed-iii/xbox-360-128701,Xbox 360,8.5,"Action, Adventure",N,2012
Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/xbox-360-135486,Xbox 360,9,"Racing, Action",Y,2012
Assassin's Creed III: Liberation,/games/assassins-creed-vita/vita-115670,PlayStation Vita,7.2,Action,N,2012
Smart As...,/games/smart-as-135038/vita-98920,PlayStation Vita,8.5,"Educational, Puzzle",N,2012
Assassin's Creed III,/games/assassins-creed-iii/ps3-128700,PlayStation 3,8.5,"Action, Adventure",N,2012
Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/pc-135628,PC,9,"Racing, Action",Y,2012
WWE '13,/games/wwe-13/ps3-127917,PlayStation 3,8.4,Wrestling,N,2012
Street Fighter x Tekken,/games/street-fighter-x-tekken/vita-110720,PlayStation Vita,6.6,Fighting,N,2012
WWE '13,/games/wwe-13/xbox-360-127923,Xbox 360,8.4,Wrestling,N,2012
Chivalry: Medieval Warfare,/games/chivalry-medieval-warfare-142591/pc-75122,PC,7.9,Adventure,N,2012
Sonic Jump,/games/sonic-jump-2012/iphone-144482,iPhone,7.5,Platformer,N,2012
F1 Race Stars,/games/f1-race-stars/xbox-360-137846,Xbox 360,5.2,Racing,N,2012
Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/pc-126314,PC,9.3,Shooter,Y,2012
F1 Race Stars,/games/f1-race-stars/ps3-137849,PlayStation 3,5.2,Racing,N,2012
Midway Arcade Origins,/games/midway-arcade-origins/ps3-143385,PlayStation 3,5.5,"Action, Compilation",N,2012
Midway Arcade Origins,/games/midway-arcade-origins/xbox-360-143382,Xbox 360,5.5,"Action, Compilation",N,2012
Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/xbox-360-126311,Xbox 360,9.3,Shooter,Y,2012
Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/ps3-126313,PlayStation 3,9.3,Shooter,Y,2012
When Vikings Attack,/games/when-vikings-attack/ps3-135043,PlayStation 3,6.5,"Fighting, Action",N,2012
When Vikings Attack,/games/when-vikings-attack/vita-135040,PlayStation Vita,6.5,"Fighting, Action",N,2012
"Freakyforms Deluxe: Your Creations, Alive!",/games/freakyforms-deluxe-your-creations-alive/3ds-139655,Nintendo 3DS,5,Productivity,N,2012
Painkiller: Hell & Damnation,/games/painkiller-hell-and-damnation/pc-136319,PC,5,Shooter,N,2012
Transformers Prime,/games/transformers-prime/3ds-130988,Nintendo 3DS,8,Action,N,2012
Angry Birds Star Wars,/games/star-wars-angry-birds/iphone-144485,iPhone,8.8,Puzzle,N,2012
Farming Simulator 2013,/games/farming-simulator-2013/pc-144241,PC,7.1,Simulation,N,2012
Paper Mario: Sticker Star,/games/paper-mario-3ds/3ds-77808,Nintendo 3DS,8.3,RPG,N,2012
Lucius,/games/lucius-shiver-games/pc-83378,PC,6,Adventure,N,2012
LittleBigPlanet Karting,/games/littlebigplanet-karting/ps3-128163,PlayStation 3,5,Racing,N,2012
Primal Carnage,/games/primal-carnage/pc-60854,PC,7.6,Shooter,N,2012
Natural Selection 2,/games/natural-selection-2/pc-904386,PC,8,Shooter,N,2012
Symphonica: Grand Maestro,/games/symphonica-grand-maestro/iphone-141555,iPhone,6,Music,N,2012
Football Manager 2013,/games/football-manager-2013/mac-141666,Macintosh,9,"Sports, Simulation",Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/pc-135888,PC,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/ipad-135885,iPad,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/mac-135889,Macintosh,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/ps3-135887,PlayStation 3,9.5,Adventure,Y,2012
Football Manager 2013,/games/football-manager-2013/pc-141663,PC,9,"Sports, Simulation",Y,2012
Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/vita-135721,PlayStation Vita,7.4,"Racing, Action",N,2012
Orgarhythm,/games/orgarhythm-133846/vita-130950,PlayStation Vita,4.7,"Music, Action",N,2012
Sports Champions 2,/games/sports-champions-2/ps3-135395,PlayStation 3,7.6,"Sports, Action",N,2012
Kinect Party,/games/happy-action-theater-2/xbox-360-140195,Xbox 360,8.5,Party,N,2012
Sky Gamblers: Storm Raiders,/games/sky-gamblers-storm-raider/iphone-149216,iPhone,7.1,Action,N,2012
Oddworld: Stranger's Wrath HD,/games/oddworld-strangers-wrath/vita-110722,PlayStation Vita,7.5,"Action, Adventure",N,2012
AirBuccaneers,/games/airbuccaneers/pc-150858,PC,7.5,Action,N,2012
Theatrhythm Final Fantasy,/games/theatrhythm-final-fantasy/iphone-150082,iPhone,8,"Music, Action",N,2012
Sing Party,/games/sing/wii-u-135741,Wii U,6.3,Music,N,2012
Beatdown!,/games/beatdown/iphone-147890,iPhone,6.3,"Fighting, Action",N,2012
Waking Mars,/games/waking-mars-148199/pc-148201,PC,6.5,Action,N,2012
Waking Mars,/games/waking-mars-148199/iphone-129356,iPhone,6.5,Action,N,2012
Hitman: Absolution,/games/hitman-absolution/ps3-14348845,PlayStation 3,9,Action,Y,2012
Hitman: Absolution,/games/hitman-absolution/xbox-360-14348846,Xbox 360,9,Action,Y,2012
